"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"1121012" "Director, technical" "1121012" "Director, technical"
"1121013" "Engineer, superintendent" "1121013" "Engineer, superintendent"
"1121014" "Foreman, general (manufacturing)" "1121014" "Foreman, general (manufacturing)"
"1121015" "Foreman, senior (manufacturing)" "1121015" "Foreman, senior (manufacturing)"
"1121016" "Foreman, works (manufacturing)" "1121016" "Foreman, works (manufacturing)"
"1121017" "Manager (coke ovens)" "1121017" "Manager (coke ovens)"
"1121018" "Manager (engineering)" "1121018" "Manager (engineering)"
"1121019" "Manager (manufacturing)" "1121019" "Manager (manufacturing)"
"1121020" "Manager (mineral oil processing)" "1121020" "Manager (mineral oil processing)"
"1121021" "Manager (nuclear fuel production)" "1121021" "Manager (nuclear fuel production)"
"1121022" "Manager (packing company)" "1121022" "Manager (packing company)"
"1121023" "Manager (printing)" "1121023" "Manager (printing)"
"1121024" "Manager (ship building, repairing)" "1121024" "Manager (ship building, repairing)"
"1121025" "Manager (solid fuel mfr)" "1121025" "Manager (solid fuel mfr)"
"1121026" "Manager (steelworks)" "1121026" "Manager (steelworks)"
"1121027" "Manager, abattoir" "1121027" "Manager, abattoir"
"1121028" "Manager, bakery" "1121028" "Manager, bakery"
"1121029" "Manager, brewery" "1121029" "Manager, brewery"
"1121030" "Manager, composition" "1121030" "Manager, composition"
"1121031" "Manager, contract (manufacturing)" "1121031" "Manager, contract (manufacturing)"
"1121032" "Manager, contracts (manufacturing)" "1121032" "Manager, contracts (manufacturing)"
"1121033" "Manager, control, materials" "1121033" "Manager, control, materials"
"1121034" "Manager, control, production" "1121034" "Manager, control, production"
"1121035" "Manager, dairy (food products mfr)" "1121035" "Manager, dairy (food products mfr)"
"1121036" "Manager, district (manufacturing)" "1121036" "Manager, district (manufacturing)"
"1121037" "Manager, divisional (manufacturing)" "1121037" "Manager, divisional (manufacturing)"
"1121038" "Manager, electro-plating" "1121038" "Manager, electro-plating"
"1121039" "Manager, engineering" "1121039" "Manager, engineering"
"1121040" "Manager, factory" "1121040" "Manager, factory"
"1121041" "Manager, floor (manufacturing)" "1121041" "Manager, floor (manufacturing)"
"1121042" "Manager, foundry" "1121042" "Manager, foundry"
"1121043" "Manager, general (manufacturing)" "1121043" "Manager, general (manufacturing)"
"1121044" "Manager, house, dye" "1121044" "Manager, house, dye"
"1121045" "Manager, maintenance" "1121045" "Manager, maintenance"
"1121046" "Manager, manufacturing" "1121046" "Manager, manufacturing"
"1121047" "Manager, mill" "1121047" "Manager, mill"
"1121048" "Manager, office, printing (PO)" "1121048" "Manager, office, printing (PO)"
"1121049" "Manager, operations" "1121049" "Manager, operations"
"1121050" "Manager, plant" "1121050" "Manager, plant"
"1121051" "Manager, print" "1121051" "Manager, print"
"1121052" "Manager, printing" "1121052" "Manager, printing"
"1121053" "Manager, production" "1121053" "Manager, production"
"1121054" "Manager, progress" "1121054" "Manager, progress"
"1121055" "Manager, project (manufacturing)" "1121055" "Manager, project (manufacturing)"
"1121056" "Manager, projects" "1121056" "Manager, projects"
"1121057" "Manager, publications (technical)" "1121057" "Manager, publications (technical)"
"1121058" "Manager, publications, technical" "1121058" "Manager, publications, technical"
"1121059" "Manager, regional (manufacturing)" "1121059" "Manager, regional (manufacturing)"
"1121060" "Manager, reprographics" "1121060" "Manager, reprographics"
"1121061" "Manager, room, composing" "1121061" "Manager, room, composing"
"1121062" "Manager, room, print" "1121062" "Manager, room, print"
"1121063" "Manager, room, tool" "1121063" "Manager, room, tool"
"1121064" "Manager, service" "1121064" "Manager, service"
"1121065" "Manager, services, technical" "1121065" "Manager, services, technical"
"1121066" "Manager, shift" "1121066" "Manager, shift"
"1121067" "Manager, shop (manufacturing)" "1121067" "Manager, shop (manufacturing)"
"1121068" "Manager, shop (metal trades)" "1121068" "Manager, shop (metal trades)"
"1121069" "Manager, shop, colour" "1121069" "Manager, shop, colour"
"1121070" "Manager, steelworks" "1121070" "Manager, steelworks"
"1121071" "Manager, systems (printing)" "1121071" "Manager, systems (printing)"
"1121072" "Manager, technical" "1121072" "Manager, technical"
"1121073" "Manager, textile" "1121073" "Manager, textile"
"1121074" "Manager, works" "1121074" "Manager, works"
"1121075" "Manager, workshop" "1121075" "Manager, workshop"
"1121076" "Manager, workshops" "1121076" "Manager, workshops"
"1121077" "Manager, yard, boat" "1121077" "Manager, yard, boat"
"1121078" "Manager, yard, ship" "1121078" "Manager, yard, ship"
"1121079" "Owner (engineering works)" "1121079" "Owner (engineering works)"
"1121080" "Owner (manufacturing)" "1121080" "Owner (manufacturing)"
"1121081" "Owner (sawmill)" "1121081" "Owner (sawmill)"
"1121082" "Owner (textile mill)" "1121082" "Owner (textile mill)"
"1121083" "Owner, foundry" "1121083" "Owner, foundry"
"1121084" "Owner, mill, textile" "1121084" "Owner, mill, textile"
"1121085" "Owner, sawmill" "1121085" "Owner, sawmill"
"1122" "Managers in construction" "1122" "Managers in construction"
"1122001" "Agent (building and contracting)" "1122001" "Agent (building and contracting)"
"1122002" "Agent, builder's" "1122002" "Agent, builder's"
"1122003" "Agent, contractor's" "1122003" "Agent, contractor's"
"1122004" "Agent, engineering, civil" "1122004" "Agent, engineering, civil"
"1122005" "Agent, site" "1122005" "Agent, site"
"1122006" "Clerk of works" "1122006" "Clerk of works"
"1122007" "Director (building and contracting)" "1122007" "Director (building and contracting)"
"1122008" "Director (civil engineering)" "1122008" "Director (civil engineering)"
"1122009" "Director, building" "1122009" "Director, building"
"1122010" "Director, contracts (construction)" "1122010" "Director, contracts (construction)"
"1122011" "Director, managing (building and construction)" "1122011" "Director, managing (building and construction)"
"1122012" "Manager (alarm, security installation)" "1122012" "Manager (alarm, security installation)"
"1122013" "Manager (building and contracting)" "1122013" "Manager (building and contracting)"
"1122014" "Manager (civil engineering)" "1122014" "Manager (civil engineering)"
"1122015" "Manager (coal mine: opencast)" "1122015" "Manager (coal mine: opencast)"
"1122016" "Manager (electrical contracting)" "1122016" "Manager (electrical contracting)"
"1122017" "Manager (local government: highways dept)" "1122017" "Manager (local government: highways dept)"
"1122018" "Manager, area (construction)" "1122018" "Manager, area (construction)"
"1122019" "Manager, building" "1122019" "Manager, building"
"1122020" "Manager, commercial (building and contracting)" "1122020" "Manager, commercial (building and contracting)"
"1122021" "Manager, construction" "1122021" "Manager, construction"
"1122022" "Manager, contract (building and contracting)" "1122022" "Manager, contract (building and contracting)"
"1122023" "Manager, contracts (building and contracting)" "1122023" "Manager, contracts (building and contracting)"
"1122024" "Manager, contracts, building" "1122024" "Manager, contracts, building"
"1122025" "Manager, demolition" "1122025" "Manager, demolition"
"1122026" "Manager, development (building and contracting)" "1122026" "Manager, development (building and contracting)"
"1122027" "Manager, highway" "1122027" "Manager, highway"
"1122028" "Manager, highways" "1122028" "Manager, highways"
"1122029" "Manager, maintenance (buildings and other structures)" "1122029" "Manager, maintenance (buildings and other structures)"
"1122030" "Manager, maintenance, property" "1122030" "Manager, maintenance, property"
"1122031" "Manager, plant (building and contracting)" "1122031" "Manager, plant (building and contracting)"
"1122032" "Manager, production (building and contracting)" "1122032" "Manager, production (building and contracting)"
"1122033" "Manager, projects (building and contracting)" "1122033" "Manager, projects (building and contracting)"
"1122034" "Manager, services, building" "1122034" "Manager, services, building"
"1122035" "Manager, services, site" "1122035" "Manager, services, site"
"1122036" "Manager, site" "1122036" "Manager, site"
"1122037" "Manager, works (building and contracting)" "1122037" "Manager, works (building and contracting)"
"1122038" "Master of works" "1122038" "Master of works"
"1122039" "Merchant (building and contracting)" "1122039" "Merchant (building and contracting)"
"1122040" "Owner (building and contracting)" "1122040" "Owner (building and contracting)"
"1122041" "Owner (electrical contracting)" "1122041" "Owner (electrical contracting)"
"1122042" "Owner (plumbing, heating contracting)" "1122042" "Owner (plumbing, heating contracting)"
"1122043" "Owner (property renovation)" "1122043" "Owner (property renovation)"
"1122044" "Sub-agent (building and construction)" "1122044" "Sub-agent (building and construction)"
"1123" "Managers in mining and energy" "1123" "Managers in mining and energy"
"1123001" "Agent (mining)" "1123001" "Agent (mining)"
"1123002" "Agent, colliery" "1123002" "Agent, colliery"
"1123003" "Agent, mine" "1123003" "Agent, mine"
"1123004" "Agent, surface" "1123004" "Agent, surface"
"1123005" "Boss, mine" "1123005" "Boss, mine"
"1123006" "Manager (electricity supplier)" "1123006" "Manager (electricity supplier)"
"1123007" "Manager (mine (not opencast): quarry)" "1123007" "Manager (mine (not opencast): quarry)"
"1123008" "Manager (public utilities)" "1123008" "Manager (public utilities)"
"1123009" "Manager (quarrying and extraction)" "1123009" "Manager (quarrying and extraction)"
"1123010" "Manager (well drilling)" "1123010" "Manager (well drilling)"
"1123011" "Manager, colliery" "1123011" "Manager, colliery"
"1123012" "Manager, distribution (energy suppliers)" "1123012" "Manager, distribution (energy suppliers)"
"1123013" "Manager, exploration, oil" "1123013" "Manager, exploration, oil"
"1123014" "Manager, gas" "1123014" "Manager, gas"
"1123015" "Manager, installation, offshore" "1123015" "Manager, installation, offshore"
"1123016" "Manager, installations, offshore" "1123016" "Manager, installations, offshore"
"1123017" "Manager, operations (mining, water and energy)" "1123017" "Manager, operations (mining, water and energy)"
"1123018" "Manager, planning (public utilities)" "1123018" "Manager, planning (public utilities)"
"1123019" "Manager, quarry" "1123019" "Manager, quarry"
"1123020" "Manager, station, power" "1123020" "Manager, station, power"
"1123021" "Overman" "1123021" "Overman"
"1123022" "Owner (quarry)" "1123022" "Owner (quarry)"
"1123023" "Pusher, tool" "1123023" "Pusher, tool"
"113" "Functional Managers" "113" "Functional Managers"
"1131" "Financial managers and chartered secretaries" "1131" "Financial managers and chartered secretaries"
"1131001" "ACIS" "1131001" "ACIS"
"1131002" "Banker" "1131002" "Banker"
"1131003" "Banker, international" "1131003" "Banker, international"
"1131004" "Banker, investment" "1131004" "Banker, investment"
"1131005" "Banker, merchant" "1131005" "Banker, merchant"
"1131006" "Chamberlain, burgh" "1131006" "Chamberlain, burgh"
"1131007" "Chamberlain, city" "1131007" "Chamberlain, city"
"1131008" "Director and Secretary" "1131008" "Director and Secretary"
"1131009" "Director of finance" "1131009" "Director of finance"
"1131010" "Director, finance" "1131010" "Director, finance"
"1131011" "Director, financial" "1131011" "Director, financial"
"1131012" "FCIS" "1131012" "FCIS"
"1131013" "Manager (accountancy services)" "1131013" "Manager (accountancy services)"
"1131014" "Manager (accountancy)" "1131014" "Manager (accountancy)"
"1131015" "Manager (banking: merchant)" "1131015" "Manager (banking: merchant)"
"1131016" "Manager (credit company)" "1131016" "Manager (credit company)"
"1131017" "Manager (financial services)" "1131017" "Manager (financial services)"
"1131018" "Manager (loan company)" "1131018" "Manager (loan company)"
"1131019" "Manager (money lending)" "1131019" "Manager (money lending)"
"1131020" "Manager, VAT" "1131020" "Manager, VAT"
"1131021" "Manager, assessment, credit" "1131021" "Manager, assessment, credit"
"1131022" "Manager, branch (credit company)" "1131022" "Manager, branch (credit company)"
"1131023" "Manager, branch (financial services)" "1131023" "Manager, branch (financial services)"
"1131024" "Manager, client (financial services)" "1131024" "Manager, client (financial services)"
"1131025" "Manager, control, credit" "1131025" "Manager, control, credit"
"1131026" "Manager, credit" "1131026" "Manager, credit"
"1131027" "Manager, derivatives" "1131027" "Manager, derivatives"
"1131028" "Manager, development, agency" "1131028" "Manager, development, agency"
"1131029" "Manager, exchange, foreign" "1131029" "Manager, exchange, foreign"
"1131030" "Manager, finance" "1131030" "Manager, finance"
"1131031" "Manager, financial" "1131031" "Manager, financial"
"1131032" "Manager, fund" "1131032" "Manager, fund"
"1131033" "Manager, house, acceptance" "1131033" "Manager, house, acceptance"
"1131034" "Manager, insolvency" "1131034" "Manager, insolvency"
"1131035" "Manager, investment" "1131035" "Manager, investment"
"1131036" "Manager, market, money" "1131036" "Manager, market, money"
"1131037" "Manager, markets (financial services)" "1131037" "Manager, markets (financial services)"
"1131038" "Manager, office (credit control)" "1131038" "Manager, office (credit control)"
"1131039" "Manager, practice, insolvency" "1131039" "Manager, practice, insolvency"
"1131040" "Manager, purchase, hire" "1131040" "Manager, purchase, hire"
"1131041" "Manager, systems, financial" "1131041" "Manager, systems, financial"
"1131042" "Manager, tax" "1131042" "Manager, tax"
"1131043" "Manager, taxation" "1131043" "Manager, taxation"
"1131044" "Manager, treasury" "1131044" "Manager, treasury"
"1131045" "Manager, valuation" "1131045" "Manager, valuation"
"1131046" "Principal (banking)" "1131046" "Principal (banking)"
"1131047" "Registrar" "1131047" "Registrar"
"1131048" "Registrar of stock" "1131048" "Registrar of stock"
"1131049" "Registrar of stocks and bonds" "1131049" "Registrar of stocks and bonds"
"1131050" "Registrar, company" "1131050" "Registrar, company"
"1131051" "Secretary and company director" "1131051" "Secretary and company director"
"1131052" "Secretary and legal adviser" "1131052" "Secretary and legal adviser"
"1131053" "Secretary of health authority" "1131053" "Secretary of health authority"
"1131054" "Secretary of health board" "1131054" "Secretary of health board"
"1131055" "Secretary, chartered" "1131055" "Secretary, chartered"
"1131056" "Secretary, company (director)" "1131056" "Secretary, company (director)"
"1131057" "Secretary-accountant" "1131057" "Secretary-accountant"
"1131058" "Secretary-director" "1131058" "Secretary-director"
"1131059" "Treasurer (qualified)" "1131059" "Treasurer (qualified)"
"1131060" "Treasurer, company" "1131060" "Treasurer, company"
"1131061" "Treasurer, county" "1131061" "Treasurer, county"
"1132" "Marketing and sales managers" "1132" "Marketing and sales managers"
"1132001" "Director of business development" "1132001" "Director of business development"
"1132002" "Director of marketing" "1132002" "Director of marketing"
"1132003" "Director of sales" "1132003" "Director of sales"
"1132004" "Director, account" "1132004" "Director, account"
"1132005" "Director, commercial" "1132005" "Director, commercial"
"1132006" "Director, development, business" "1132006" "Director, development, business"
"1132007" "Director, export" "1132007" "Director, export"
"1132008" "Director, marketing" "1132008" "Director, marketing"
"1132009" "Director, sales" "1132009" "Director, sales"
"1132010" "Director, sales and export" "1132010" "Director, sales and export"
"1132011" "Director, sales and marketing" "1132011" "Director, sales and marketing"
"1132012" "Head of business development" "1132012" "Head of business development"
"1132013" "Manager (marketing)" "1132013" "Manager (marketing)"
"1132014" "Manager (telephone sales)" "1132014" "Manager (telephone sales)"
"1132015" "Manager (airbrokers)" "1132015" "Manager (airbrokers)"
"1132016" "Manager (commission agents)" "1132016" "Manager (commission agents)"
"1132017" "Manager (export agency)" "1132017" "Manager (export agency)"
"1132018" "Manager (import agency)" "1132018" "Manager (import agency)"
"1132019" "Manager (market research)" "1132019" "Manager (market research)"
"1132020" "Manager (ship brokers)" "1132020" "Manager (ship brokers)"
"1132021" "Manager, account (sales)" "1132021" "Manager, account (sales)"
"1132022" "Manager, account (marketing)" "1132022" "Manager, account (marketing)"
"1132023" "Manager, account, national" "1132023" "Manager, account, national"
"1132024" "Manager, account, sales" "1132024" "Manager, account, sales"
"1132025" "Manager, account, telesales" "1132025" "Manager, account, telesales"
"1132026" "Manager, advertising, sales" "1132026" "Manager, advertising, sales"
"1132027" "Manager, agents, commission" "1132027" "Manager, agents, commission"
"1132028" "Manager, area (pools promoters)" "1132028" "Manager, area (pools promoters)"
"1132029" "Manager, area (sales force)" "1132029" "Manager, area (sales force)"
"1132030" "Manager, area (market research)" "1132030" "Manager, area (market research)"
"1132031" "Manager, area, sales" "1132031" "Manager, area, sales"
"1132032" "Manager, brand" "1132032" "Manager, brand"
"1132033" "Manager, commercial" "1132033" "Manager, commercial"
"1132034" "Manager, communications" "1132034" "Manager, communications"
"1132035" "Manager, contract (marketing)" "1132035" "Manager, contract (marketing)"
"1132036" "Manager, contracts" "1132036" "Manager, contracts"
"1132037" "Manager, development, business" "1132037" "Manager, development, business"
"1132038" "Manager, development, corporate" "1132038" "Manager, development, corporate"
"1132039" "Manager, development, market" "1132039" "Manager, development, market"
"1132040" "Manager, development, marketing" "1132040" "Manager, development, marketing"
"1132041" "Manager, development, product" "1132041" "Manager, development, product"
"1132042" "Manager, development, sales" "1132042" "Manager, development, sales"
"1132043" "Manager, district (assurance company)" "1132043" "Manager, district (assurance company)"
"1132044" "Manager, district (insurance)" "1132044" "Manager, district (insurance)"
"1132045" "Manager, export" "1132045" "Manager, export"
"1132046" "Manager, field" "1132046" "Manager, field"
"1132047" "Manager, force, sales" "1132047" "Manager, force, sales"
"1132048" "Manager, import" "1132048" "Manager, import"
"1132049" "Manager, label (music publishing)" "1132049" "Manager, label (music publishing)"
"1132050" "Manager, marketing" "1132050" "Manager, marketing"
"1132051" "Manager, merchandise" "1132051" "Manager, merchandise"
"1132052" "Manager, operations, commercial" "1132052" "Manager, operations, commercial"
"1132053" "Manager, pricing" "1132053" "Manager, pricing"
"1132054" "Manager, product" "1132054" "Manager, product"
"1132055" "Manager, products" "1132055" "Manager, products"
"1132056" "Manager, promotion, sales" "1132056" "Manager, promotion, sales"
"1132057" "Manager, promotions (marketing)" "1132057" "Manager, promotions (marketing)"
"1132058" "Manager, regional (sales force)" "1132058" "Manager, regional (sales force)"
"1132059" "Manager, research, market" "1132059" "Manager, research, market"
"1132060" "Manager, rights (publishing company)" "1132060" "Manager, rights (publishing company)"
"1132061" "Manager, sales" "1132061" "Manager, sales"
"1132062" "Manager, sales and advertising" "1132062" "Manager, sales and advertising"
"1132063" "Manager, sales and commercial" "1132063" "Manager, sales and commercial"
"1132064" "Manager, sales and marketing" "1132064" "Manager, sales and marketing"
"1132065" "Manager, sales and service" "1132065" "Manager, sales and service"
"1132066" "Manager, sales, advertisement" "1132066" "Manager, sales, advertisement"
"1132067" "Manager, sales, advertising" "1132067" "Manager, sales, advertising"
"1132068" "Manager, sales, area" "1132068" "Manager, sales, area"
"1132069" "Manager, sales, district" "1132069" "Manager, sales, district"
"1132070" "Manager, sales, field" "1132070" "Manager, sales, field"
"1132071" "Manager, sales, regional" "1132071" "Manager, sales, regional"
"1132072" "Manager, sales, telephone" "1132072" "Manager, sales, telephone"
"1132073" "Manager, services, client (advertising)" "1132073" "Manager, services, client (advertising)"
"1132074" "Manager, services, marketing" "1132074" "Manager, services, marketing"
"1132075" "Manager, strategy, business" "1132075" "Manager, strategy, business"
"1132076" "Manager, support, marketing" "1132076" "Manager, support, marketing"
"1132077" "Manager, team (sales force)" "1132077" "Manager, team (sales force)"
"1132078" "Manager, telemarketing" "1132078" "Manager, telemarketing"
"1132079" "Manager, telesales" "1132079" "Manager, telesales"
"1132080" "Owner (export agency)" "1132080" "Owner (export agency)"
"1132081" "Owner (import agency)" "1132081" "Owner (import agency)"
"1133" "Purchasing managers" "1133" "Purchasing managers"
"1133001" "Director of contracts (government)" "1133001" "Director of contracts (government)"
"1133002" "Director, purchasing" "1133002" "Director, purchasing"
"1133003" "Manager, buying" "1133003" "Manager, buying"
"1133004" "Manager, commissioning" "1133004" "Manager, commissioning"
"1133005" "Manager, contract (purchasing)" "1133005" "Manager, contract (purchasing)"
"1133006" "Manager, contracts (purchasing)" "1133006" "Manager, contracts (purchasing)"
"1133007" "Manager, estimating" "1133007" "Manager, estimating"
"1133008" "Manager, procurement" "1133008" "Manager, procurement"
"1133009" "Manager, purchasing" "1133009" "Manager, purchasing"
"1133010" "Manager, supplies" "1133010" "Manager, supplies"
"1134" "Advertising and public relations managers" "1134" "Advertising and public relations managers"
"1134001" "Director of external relations" "1134001" "Director of external relations"
"1134002" "Director of fund raising" "1134002" "Director of fund raising"
"1134003" "Director, account (advertising)" "1134003" "Director, account (advertising)"
"1134004" "Director, advertising" "1134004" "Director, advertising"
"1134005" "Director, appeal" "1134005" "Director, appeal"
"1134006" "Director, appeals" "1134006" "Director, appeals"
"1134007" "Director, creative" "1134007" "Director, creative"
"1134008" "Director, media" "1134008" "Director, media"
